_id,isPb,wpm,acc,rawWpm,consistency,charStats,mode,mode2,quoteLength,restartCount,testDuration,afkDuration,incompleteTestSeconds,punctuation,numbers,language,funbox,difficulty,lazyMode,blindMode,bailedOut,tags,timestamp
67be01359707b5a8a8eeffab,,35.6,90.83,40.4,64.14,89;2;0;0,time,30,-1,1,30,0,1.5,false,false,english,none,normal,false,false,false,,1740505397000
67be010a9707b5a8a8eefc86,,38.4,91.89,41.6,56.38,96;1;0;0,time,30,-1,0,30,1,0,false,false,english,none,normal,false,false,false,,1740505354000
67bdfdc39707b5a8a8eec326,,36,84.03,44.8,69.14,90;8;2;0,time,30,-1,3,30,0,9.12,false,false,english,none,normal,false,false,false,,1740504515000
67bdfd879707b5a8a8eebf0b,,37.2,92.66,42,70.29,93;2;0;0,time,30,-1,0,30,0,0,false,false,english,none,normal,false,false,false,,1740504455000
67bdfd619707b5a8a8eebc8a,,38,89.66,43.2,68.17,95;2;0;0,time,30,-1,2,30,0,1.58,false,false,english,none,normal,false,false,false,,1740504417000
67bdfd2e9707b5a8a8eeb901,,43.2,94.92,45.6,71.44,108;1;0;0,time,30,-1,1,30,0,1.91,false,false,english,none,normal,false,false,false,,1740504366000
67bdfcff9707b5a8a8eeb593,,35.6,94,35.6,47.42,89;0;0;0,time,30,-1,0,30,2,0,false,false,english,none,normal,false,false,false,,1740504319000
67bdfccb9707b5a8a8eeb1e1,,27.6,88.61,27.6,43.51,69;0;0;0,time,30,-1,2,30,2,7.95,false,false,english,none,normal,false,false,false,,1740504267000
67bdfbd49707b5a8a8eea024,,26.4,86.42,26.4,31.26,66;0;0;0,time,30,-1,3,30,3,60.44,false,false,english,none,normal,false,false,false,,1740504020000
67bdfb6b9707b5a8a8ee9850,,33.6,92.47,33.6,58.93,84;0;0;0,time,30,-1,6,30,0,78.89,false,false,english,none,normal,false,false,false,,1740503915000
67bdfaa59707b5a8a8ee896e,true,44.8,97.41,44.8,69.6,112;0;0;0,time,30,-1,0,30,0,0,false,false,english,none,normal,false,false,false,,1740503717000
67bc9da39707b5a8a8dca8a3,,30.8,90.91,32,63.79,77;1;0;0,time,30,-1,2,30,0,32.21,false,false,english,none,normal,false,false,false,,1740414371000
67bc9cd49707b5a8a8dc9882,,40.4,100,40.4,80.47,101;0;0;0,time,30,-1,10,30,0,70.09,false,false,english,none,normal,false,false,false,,1740414164000
67bc9bbf9707b5a8a8dc8446,true,44.39,96.52,45.19,72.16,111;2;0;0,time,30,-1,0,30.01,0,0,false,false,english,none,normal,false,false,false,,1740413887000
67bc5dac9707b5a8a8d882ad,true,41.59,94.83,43.99,65.48,104;1;0;0,time,30,-1,0,30.01,0,0,false,false,english,none,normal,false,false,false,,1740397996000
67bc5d849707b5a8a8d880ca,true,35.2,88.68,40,55.16,44;2;0;0,time,15,-1,0,15,0,0,false,false,english,none,normal,false,false,false,,1740397956000
67bc5d489707b5a8a8d87dea,,29.6,82.35,36,60.13,37;1;0;1,time,15,-1,0,15,0,0,false,false,english,none,normal,false,false,false,,1740397896000
67bc5d309707b5a8a8d87cd2,,32.8,79.66,41.59,71.44,41;3;2;0,time,15,-1,1,15,0,4.42,false,false,english,none,normal,false,false,false,,1740397872000
67bc5d0b9707b5a8a8d87b1e,true,33.6,89.66,45.6,60.11,42;2;0;1,time,15,-1,1,15,0,3.71,false,false,english,none,normal,false,false,false,,1740397835000
67bc5cea9707b5a8a8d879a9,true,32.12,91.23,33.32,56.2,485;3;0;0,words,100,-1,1,181.17,1,5.68,false,false,english,none,normal,false,false,false,,1740397802000
67bc5c219707b5a8a8d8713e,true,33.6,92.31,33.6,51.57,84;0;0;0,time,30,-1,0,30,0,0,false,false,english,none,normal,false,false,false,,1740397601000
67bc5bda9707b5a8a8d86e44,true,35.8,94.62,36.7,64.2,358;2;0;0,time,120,-1,0,120,1,0,false,false,english,none,normal,false,false,false,,1740397530000
